,item,item form,category,shelf life,glass,paper,plastic,aluminium,bio,weekly usage,weekly total,monthly total glass,yearly total glass,monthly total paper,yearly total paper,monthly total plastic,yearly total plastic,monthly total aluminium,yearly total aluminium,monthly total bio,yearly total bio,monthly total,yearly total,env impact
0,Milk,Liquid,Food,Short,0,0,33,0,0,4.0,33,0.0,0.0,0.0,0.0,528.0,6864.0,0.0,0.0,0.0,0.0,528.0,6864.0,1.0
1,Oil Cooking ,Liquid,Food,Medium,313,0,0,3,0,1.2,316,1502.4,19531.199999999997,0.0,0.0,0.0,0.0,14.4,187.2,0.0,0.0,1516.8,19718.4,0.0
2,Tea Bgs ,Solid,Food ,Long,0,10,1,0,350,0.25,361,0.0,0.0,10.0,130.0,1.0,13.0,0.0,0.0,350.0,4550.0,361.0,4693.0,0.030470914127423865
3,Bread ,Solid,Food,Short,0,0,9,0,0,3.0,9,0.0,0.0,0.0,0.0,108.0,1404.0,0.0,0.0,0.0,0.0,108.0,1404.0,1.0
4,Eggs,Solid,Food,Short,0,29,0,0,42,2.5,71,0.0,0.0,290.0,3770.0,0.0,0.0,0.0,0.0,420.0,5460.0,710.0,9230.0,0.4084507042253521
5,Cooking Butter,Solid,Food,Medium,0,0,3,0,0,0.5,3,0.0,0.0,0.0,0.0,6.0,78.0,0.0,0.0,0.0,0.0,6.0,78.0,1.0
6,Cooking Cream ,Liquid,Food,Medium,0,0,30,0,0,1.0,30,0.0,0.0,0.0,0.0,120.0,1560.0,0.0,0.0,0.0,0.0,120.0,1560.0,1.0
7,Pasta ,Solid,Food,Long,0,0,10,0,0,1.0,10,0.0,0.0,0.0,0.0,40.0,520.0,0.0,0.0,0.0,0.0,40.0,520.0,1.0
8,Parmesan Chheese ,Solid,Food ,Short,0,0,8,0,0,1.0,8,0.0,0.0,0.0,0.0,32.0,416.0,0.0,0.0,0.0,0.0,32.0,416.0,1.0
9,Cheese ,Solid,Food,Short,0,0,17,0,0,0.75,17,0.0,0.0,0.0,0.0,51.0,663.0,0.0,0.0,0.0,0.0,51.0,663.0,1.0
10,Jam,Solid,Food,Long,215,0,0,11,0,0.5,226,430.0,5590.0,0.0,0.0,0.0,0.0,22.0,286.0,0.0,0.0,452.0,5876.0,0.0
11,Potato,Solid,Food,Medium,0,0,7,0,400,1.0,407,0.0,0.0,0.0,0.0,28.0,364.0,0.0,0.0,1600.0,20800.0,1628.0,21164.0,0.017199017199017175
12,Onion ,Solid,Food,Medium,0,0,2,0,100,1.0,102,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,400.0,5200.0,408.0,5304.0,0.019607843137254943
13,Soda Bottled ,Liquid,Food,Long,239,0,0,1,0,1.0,240,956.0,12428.0,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,960.0,12480.0,0.0
14,Soda Can ,Liquid,Food,Long,0,0,0,14,0,1.5,14,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1092.0,0.0,0.0,84.0,1092.0,0.0
15,Salt ,Solid,Food,Long,0,7,0,0,0,0.5,7,0.0,0.0,14.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,182.0,1.0
16,Suger ,Solid,Food,Long,0,7,0,0,0,0.5,7,0.0,0.0,14.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,182.0,1.0
17,Tomato Paste,Liquid,Food,Long,300,0,0,11,0,1.0,311,1200.0,15600.0,0.0,0.0,0.0,0.0,44.0,572.0,0.0,0.0,1244.0,16172.0,0.0
18,Chicken Meat ,Solid,Food,Short,0,0,20,0,0,2.5,20,0.0,0.0,0.0,0.0,200.0,2600.0,0.0,0.0,0.0,0.0,200.0,2600.0,1.0
19,Yougurt ,Solid,Food,Medium,0,0,51,0,0,2.0,51,0.0,0.0,0.0,0.0,408.0,5304.0,0.0,0.0,0.0,0.0,408.0,5304.0,1.0
20,Biscuits ,Solid,Food,Medium,0,0,3,0,0,0.5,3,0.0,0.0,0.0,0.0,6.0,78.0,0.0,0.0,0.0,0.0,6.0,78.0,1.0
21,Toilet Paper ,Solid,Cleanring Product ,Long,0,40,0,0,0,0.5,40,0.0,0.0,80.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1040.0,1.0
22,Shampo ,Liquid,Hair care Products ,Long,0,0,46,0,0,0.25,46,0.0,0.0,0.0,0.0,46.0,598.0,0.0,0.0,0.0,0.0,46.0,598.0,1.0
23,Conditioner ,Liquid,Skin Care  Product ,Long,0,0,46,0,0,0.25,46,0.0,0.0,0.0,0.0,46.0,598.0,0.0,0.0,0.0,0.0,46.0,598.0,1.0
24,Shower Gel ,Liquid,Skin Care  Product ,Long,0,0,65,0,0,0.25,65,0.0,0.0,0.0,0.0,65.0,845.0,0.0,0.0,0.0,0.0,65.0,845.0,1.0
25,Hand Soep ,Liquid,Cleaning Product ,Long,0,0,45,0,0,0.25,45,0.0,0.0,0.0,0.0,45.0,585.0,0.0,0.0,0.0,0.0,45.0,585.0,1.0
26,Tooth paste ,Solid,Cleaning Product ,Long,9,8,17,0,0,0.25,34,9.0,117.0,8.0,104.0,17.0,221.0,0.0,0.0,0.0,0.0,34.0,442.0,0.7352941176470589
27,Notella ,Solid,Food ,Long,174,0,4,1,0,1.0,179,696.0,9048.0,0.0,0.0,16.0,208.0,4.0,52.0,0.0,0.0,716.0,9308.0,0.022346368715083775
28,Orange ,Solid,Food ,Short,0,0,0,0,75,4.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,15600.0,1200.0,15600.0,0.0
29,Mandrain ,Solid,Food ,Short,0,0,0,0,360,1.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,18720.0,1440.0,18720.0,0.0
30,Flour ,Solid,Food ,Long,0,8,0,0,0,0.25,8,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,104.0,1.0
31,Garlic Butter ,Solid,Food ,Medium,0,0,9,0,0,0.3,9,0.0,0.0,0.0,0.0,10.8,140.39999999999998,0.0,0.0,0.0,0.0,10.8,140.39999999999998,1.0
